,id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description
7,7,Lab Operational Supervisor,Bali,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Layanan Kesehatan,Praktisi/Asisten Medis","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",28 days,2001 - 5000 pekerja,Telekomunikasi,"Kualifikasi:S1 Analis Kesehatan / farmasi / biologi / kesehatan masyarakat / perawat atau S2 Management administrasi Rumah Sakit dengan IPK minimal 3.0Maksimal usia 40 tahunMemiliki pengalaman minimal 3 tahun di bidang yang samaMemiliki pengalaman minimal 3 tahun menghandle operasional laboratorium atau klinikMemiliki Leadership yang kuatTanggung Jawab:Memastikan kelancaran pengelolaan hasil pemeriksaan (lab dan non lab) atau penelitian untuk mendukung pelaksanaan program kerja di bidang operasionalBertanggung jawab untuk melakukan validasi hasil pemeriksaan (lab dan non lab)Bertanggung jawab terhadap pemantauan kelancaran operasional barang, koordinasi, analisa hasil, proficiency testing, harga pokok, keluhan pelanggan, indikator kinerja, program kerjaBertanggung jawab atas laporan yang harus diberikan ke supervisor meliputi laporan indikator kinerja bagian, laporan proficiency testing, laporan QC harian, laporan kasus alat, laporan harga pokok, dan laporan keluhan pelanggan mutu operasi"
10,10,INSPECTOR BANJARMASIN,Banjarmasin,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,Penuh Waktu,"Teknik,Mekanikal",Tip;Asuransi kesehatan;Kasual (contoh: Kaos),21 days,501 - 1000 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,"1. Menginspeksi mobil bekas secara detail untuk menentukan kondisi aktual dari mobil tersebut.2. Memastikan seluruh detail mobil diperbaharui secara berkala dan mengunggahnya di CMS.3. Memastikan pekerjaan yang diberikan diselesaikan sesuai tenggat waktu yang diberikan (menangani pelanggan dengan kepedulian).4. Secara berkala meningkatkan kuantitas dan kualitas inspeksi.5.Tetap memperbaharui pengetahuan dan informasi bagi diri sendiri perihal pasar jual beli mobil bekas.Kualifikasi:1. Mempunyai kendaraan pribadi, minimal motor dan memiliki sim C dan SIM A2. Memiliki pengalaman 2 Tahun di dunia otomotif3. Memiliki Pengalaman Mekanik/SA/Sales/PDI/Surveyor/Appraiser Mobil lebih disukai4. Berorientasi dengan target dan bekerja mobile5. Bersedia bekerja 6 Hari Kerja dan 1 Hari libur"
48,48,REGULATORY STAFF,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur","Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Jamsostek",5 days,501 - 1000 pekerja,Manufaktur/Produksi,"DESKRIPSI PEKERJAAN :Bertanggung jawab dalam proses regulasi, iklan dan sertifikasi halal produk dari awal hingga terbit nomor izin produk.Membantu mempersiapkan dan mengkaji dokumen yang akan diajukan ke BPOM, KEMENKES dan LPPOM MUI.Melakukan pemantauan dan penyelesaian tambahan data yang dibutuhkan oleh BPOM hingga nomor izin edar produk terbitDapat membantu mempersiapkan dokumen-dokumen diluar dari dokumen produk, seperti : sertifikasi CPKB, SJH, serta perizinan lainnya.KUALIFIKASI :Maksimal usia 30 tahun & Pendidikan minimal Sarjana Farmasi / Apoteker, Teknik KimiaMemiliki pengalaman minimal 2 tahun di bidang BPOM, terutama bidang FMCGPengetahuan dibidang dokumen kontrol.Mengetahui CPKB, SJH & memahami Registrasi produk dan iklan.Familiar dengan semua dokumen yang dibutuhkan untuk proses registrasi produk.Komunikatif, teliti, serta menguasai program Komputer minimum MS.Office dan Power PointBersedia di tempatkan di Balaraja, Kab. Tangerang"
74,74,Clinical BA/BE Admin,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",19 days,1- 50 pekerja,BioTeknologi/Farmasi/Riset klinik,"Job Requirement:Candidate must poses at least Diploma degree in any major.Having one year experience in related fields.Good knowledge in operating computer and hardware such as printer, scan and fax.Understand about Good Clinical Practice is an advantage.Able to stay overnight during study/project.Job Description:Assist study coordination leader ensuring operational preparation are ready due to the company's SOP and regulatory approved protocol."
88,88,Campaign Operation Executive,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);BPJS , Meals",27 days,201 - 500 pekerja,Retail/Merchandise,"Job Description :Responsible for implementation of client's campaigns, including campaign setup, creative trafficking, and troubleshooting.Serve as the point of execution of strategy, creative, and audience targeting on our campaign platform.Work collaboratively with account executive team to always deliver campaign on timeProvide and curate influencer dataHandle all campaign inquiry and problemJob Requirement : Have minimum 2 year experiences as account executive or campaign operations. Passionate about influencer marketing and community management. Experience in digital agency, publisher or influencer agency. Able to handle multiple campaigns concurrently and follow the tight timelineData driven, detail oriented and able to work under pressure Adaptable and fast learner with a can do attitude."
91,91,Sales Executive (Bandung Area) - Mille Business Solution,Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",24 days,1- 50 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","As a subsidiary of PT. Teradata Megah, PT. Lakes Konstelasi Data (Lakes) is a software company focusing on empowering businesses to participate and thrive in the modern landscape of the economy. We believe that every business’ success story comes from an in-depth business analysis relying on data. Lakes provides a broad range of products, services, and technologies, including Mille Business Solution application that help businesses come up with decisions supported by Data Analytics and Artificial Intelligence.Visit our website at https://millehub.com to learn more about us. As a Sales Executive, you will research the market, scout potential merchant clients, spread the necessity of our Mille Business Solution application, and boost merchant acquisition. You are responsible to do a presentation, follow up, demo the application, build & maintain relationships with merchant clients, work closely with our Business Development (BD) and Marketing teams, and meet & exceed sales targets. We are looking for candidates who also believe that providing a high-quality service and building strong partnership with clients are the utmost important parts of delivering a satisfying product. Job Requirements:●    Candidates must possess at least Diploma or Bachelor's Degree in Marketing, Economics, Business, or Communications●    Have at least 1 year of experience as a sales executive in software/application industry●    Have a vehicle●    Good written and communication skills●    Flexible working hours●    Ability to speak English●    Good team work spirit●    Be responsible and proactive●    Maximum age of 35 years old"
96,96,JUNIOR MOBILE PROGRAMMER,Tanah Bumbu,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Penglihatan;Bisnis (contoh: Kemeja);Fasilitas Transportasi Saat Fieldbreak/Cuti, Tempat Tinggal (Mess Bersama);Senin-Sabtu",27 days,Lebih dari 5000 pekerja,Pertambangan,"Bachelor Degree in Computer Science or IT with minimum 2 years experiences.Familiar with Android, IOS Mobile, Web, React Native, Xamarin, OOP, Java Script, CSS, Flutter, API.Experience in software development and application portfolio for Android and IOS platforms.Experience in development application supporting ERP System, e-commerce, google maps, integrating Android with other devices (Bluetooth Printers, Biometric identification, RFID, etc.)Have a good skill UI/UX Design, Business Process Engineering, Business Intelligence, Internet of Things (IoT) to support mobile functionality."
102,102,FINANCIAL ADVISOR AREA BENGKULU,Bengkulu,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",27 days,501 - 1000 pekerja,Perbankan/Pelayanan Keuangan,"AXA Mandiri adalah Bancassurance No.1 Di Indonesia. Dan merupakan perusahaan gabungan dari AXA yaitu perusahaan Asuransi terkemuka di dunia dan Mandiri merupakan Bank terbesar di Indonesia. AXA Mandiri Saat ini yang memiliki lebih dari 1.200 cabang tersebar di seluruh Indonesia.Untuk memberikan pelayanan terbaik, AXA Mandiri didukung oleh lebih dari 1900 Financial Advisor yang tersebar di 1800 Cabang Bank Mandiri dan Bank Syariah Mandiri di seluruh Indonesia.  DESKRIPSI PEKERJAAN Financial Advisor (FA) adalah perencana keuangan nasabah. Financial Advisor memiliki peran penting sebagai ujung tombak perusahaan yang mencakup layanan sales dan service. Sales dimana Financial Advisor bertugas untuk merencanakan, dan memasarkan produk asuransi sesuai dengan kebutuhan nasabah sedangkan Service dimana FA juga berperan dalam pelayanan klaim ataupun komplain asuransi dari nasabah AXA Mandiri. Financial Advisor (FA) nantinya akan ditempatkan di cabang Bank Mandiri KUALIFIKASI PEKERJAANPendidikan minimal D3/S1 dari berbagai jurusanMemiliki teknik komunikasi yang baikTertarik dalam bidang perbankan dan asuransiLulusan baru atau memiliki pengalaman kerja (minimal 2 tahun pada bidang Sales dari industri finansial atau minimal 3 tahun pada bidang Sales & Non Sales dari segala bidang industri)Bersedia ditempatkan diseluruh wilayah BENGKULUBENEFITTunjangan selama mengikuti pelatihanTunjangan BulananKomisi Bulanan yang menjanjikan dan tidak terbatasBonus Tahunan sesuai dengan pencapaianTunjangan Posisi (Jabatan) untuk FA > 1 TahunManagement Development Program untuk FA > 1 tahun yang memenuhi syarat perusahaanTunjangan KesehatanAdanya pelatihan dan pengembangan karir FA yang terpadu, menarik serta bersertifikatBonus Jalan-Jalan Keluar Negeri"
112,112,MANAGEMENT TRAINEE (MANUFACTURING),Tangerang,IDR,Manajer/Asisten Manajer,2 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur",Asuransi kesehatan;Bisnis (contoh: Kemeja);Akomodasi,29 days,51 - 200 pekerja,Manufaktur/Produksi,"Job Description:Attend training programs that are designed to prepare a Manufacturer Leader in the industryConduct intensive on-the-job training programs in several departments including Production, PPIC, QC, and other related departmentsCarry out job assignments & projects Requirements:Candidate must possess minimum D3 from Engineering majorsMinimum 3.00 GPA, fresh graduate are welcome to applyRequired languages: English, Bahasa IndonesiaComputer literateHave a passion for learning, team player & team leaderProblem solver, able to multitask in a fast-paced work environmentPlacement is in Dadap, TangerangEmployee accommodation (mess) is available"
113,113,Telesales Business Partner (E-Commerce),Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",16 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,"Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap. Saat ini majoo sedang mencari Telesales Business Partner ( E-Commerce) untuk ditempatkan di Jakarta Selatan dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi pekerjaan:Mendapatkan pelanggan baru majoo sesuai dengan target yang telah ditentukan mulai dari proses pengumpulan data pelanggan potensial dari berbagai sumber (internet, referensi, dll), menghubungi calon pelanggan melalui telepon, presentasi produk, sampai melakukan dealing dengan pelanggan.Mempertahankan pelanggan eksisting majoo untuk tetap menggunakan majoo setelah masa langganannya berakhir melalui proses tracking dan follow-up pelanggan, menginfokan produk dan fitur baru majoo, sampai melakukan dealing dengan pelanggan demi meminimalkan churn rate.Melaporkan data dan kegiatan penjualan melalui sales report kepada team leader masing-masing.Mengikuti training wajib yang disediakan perusahaan dan mengaplikasikan pengetahuan dan skill yang dipelajari dalam pekerjaan sehari-hari.Persyaratan:Pendidikan minimal SMA/sederajat.Memiliki pengalaman sebagai telesales minimal 1 tahun.Mempunyai pengalaman dalam penjualan produk berbasis aplikasi menjadi nilai tambah.Memiliki kemampuan komunikasi yang baik.Mampu bekerja dibawah tekanan dan menjalin hubungan yang baik dengan para pelanggan."
